SNo,Zone,Compartment Name,Compartments,No of Participants,No of QR Codes Given,No of  QR's Scanned
47,Zone 19,Beach Road - Blind School,C47,672,800,646
48,Zone 19,Beach Road - Radison,C48,672,800,812
49,Zone 19,Beach Road - Radison,C49,672,800,649
50,Zone 20,Beach Road - Radison,C50,672,800,751
51,Zone 20,Beach Road - Radison,C51,672,800,732
52,Zone 20,Beach Road - Pema Wellness,C52,672,800,700
53,Zone 21,Beach Road - Pema Wellness,C53,672,800,869
54,Zone 21,Beach Road - Pema Wellness,C54,672,800,727
55,Zone 21,Beach Road - Gayathri College,C55,672,800,671
56,Zone 22,Beach Road - GITAM,C56,672,800,730
57,Zone 22,Beach Road - GITAM,C57,672,800,732
58,Zone 22,Beach Road - Rushikonda Beach,C58,672,800,841
59,Zone 23,Beach Road - Rushikonda Jn,C59,672,800,639
60,Zone 23,Beach Road - Saipriya,C60,672,800,805
61,Zone 23,Beach Road - A1 Grand,C61,672,800,730
62,Zone 24,Beach Road - A1 Grand,C62,672,800,728
63,Zone 24,Beach Road - A1 Grand Road,C63,672,800,779
64,Zone 24,Beach Road- Pedda Rushikonda,C64,672,800,748
65,Zone 25,Beach Road- Pedda Rushikonda,C65,672,800,760
66,Zone 25,Beach Road- Pedda Rushikonda,C66,672,800,637
67,Zone 25,Beach Road- IT Junction,C67,672,800,716
68,Zone 26,Beach Road- GG Land,C68,672,800,932
69,Zone 26,Beach Road- GG Land,C69,672,800,1020
70,Zone 26,Beach Road- IT Junction Road,C70,672,800,668
71,Zone 27,Beach Road- IT Junction Road,C71,672,800,756
72,Zone 27,Beach Road- IT Junction Road,C72,672,800,709
73,Zone 27,Beach Road- Rama Naidu Studio Road Point,C73,672,800,744
74,Zone 28,Beach Road- Rama Naidu Studio Road Point,C74,672,800,685
75,Zone 28,Beach Road- Kapuluppada Road,C75,672,800,647
76,Zone 28,Beach Road- Kapuluppada Road,C76,672,800,760
77,Zone 29,Beach Road- Kapuluppada Road,C77,672,800,791
78,Zone 29,Beach Road- Kapuluppada Road,C78,672,800,690
79,Zone 29,Beach Road- Kapuluppada Road,C79,672,800,721
80,Zone 30,Beach Road- Kapuluppada Road,C80,672,800,676
81,Zone 30,Beach Road- Film Nagar Cultural Road,C81,672,800,695
82,Zone 30,Beach Road- Thimmapuram Junction,C82,672,800,719
83,Zone 31,Beach Road- Thimmapuram Beach Road,C83,672,800,741
84,Zone 31,Beach Road- Thimmapuram Beach Road,C84,672,800,722
85,Zone 31,Beach Road- Thimmapuram Beach Road,C85,672,800,725
86,Zone 32,Beach Road- Thimmapuram Beach Road,C86,672,800,900
87,Zone 32,Beach Road- Thotla Konda,C87,672,800,743
88,Zone 32,Beach Road- Thotla Konda,C88,672,800,726
89,Zone 33,Beach Road- Jeeyyar Ashramam,C89,672,800,776
90,Zone 33,Beach Road- Jeeyyar Ashramam,C90,672,800,775
91,Zone 33,Beach Road- Jeeyyar Ashramam,C91,672,800,724
92,Zone 34,Beach Road-Mangamarripeta,C92,672,800,770
93,Zone 34,Beach Road-Mangamarripeta,C93,672,800,718
94,Zone 34,Beach Road-Mangamarripeta,C94,672,800,875
