SNo,Zone,Compartment Name,Compartments,No of Participants,No of QR Codes Given,No of  QR's Scanned
1,Zone 1,Beach Road- Main Venue,C1,1008,1250,1658
2,Zone 1,Beach Road- Main Venue,C2,1008,1250,1213
3,Zone 1,Beach Road- Main Venue,C3,1008,1250,1229
101,Zone 37,Beach Road- Uppada,C101,672,800,745
102,Zone 37,Beach Road- Uppada Road,C102,672,1250,698
103,Zone 37,Beach Road- Uppada Road,C103,672,1250,839
104,Zone 38,Beach Road- Uppada Road,C104,672,1250,1183
105,Zone 38,Beach Road- Fisheries Office,C105,672,800,796
106,Zone 38,Beach Road- Chepalauppada,C106,672,800,859
107,Zone 39,Beach Road- Chepalauppada,C107,672,800,770
108,Zone 39,Beach Road- Chepalauppada,C108,672,800,800
109,Zone 39,Beach Road- INS Kalinga,C109,672,800,746
110,Zone 40,Beach Road- INS Kalinga,C110,672,800,780
111,Zone 40,Beach Road- INS Kalinga,C111,672,800,739
112,Zone 40,Beach Road- INS Kalinga,C112,672,800,592
113,Zone 41,Beach Road- INS Kalinga,C113,672,800,636
114,Zone 41,Beach Road- INS Kalinga,C114,672,800,779
115,Zone 41,Beach Road- INS Kalinga,C115,672,800,844
116,Zone 42,Beach Road- INS Kalinga,C116,672,800,795
117,Zone 42,Beach Road- INS Kalinga,C117,672,800,765
118,Zone 42,Beach Road- INS Kalinga,C118,672,800,764
119,Zone 43,Beach Road- INS Kalinga,C119,672,800,673
120,Zone 43,Beach Road- Yerramattidibbalu,C120,672,800,775
121,Zone 43,Beach Road- Yerramattidibbalu,C121,672,800,722
122,Zone 44,Beach Road- Yerramattidibbalu,C122,672,800,838
123,Zone 44,Beach Road- Yerramattidibbalu,C123,672,800,796
124,Zone 44,Beach Road- Marlin Cay,C124,672,800,664
125,Zone 45,Beach Road- Marlin Cay,C125,672,800,673
126,Zone 45,Beach Road- Marlin Cay,C126,672,800,927
127,Zone 45,Beach Road- Marlin Cay,C127,672,800,1091
157,Zone 58,GITAM COLLEGE,A29,1344,1500,1487
158,Zone 58,GITAM COLLEGE,A30,1344,1500,1429
159,Zone 59,GITAM COLLEGE,A31,1344,1500,1588
160,Zone 59,GITAM COLLEGE,A32,1344,1500,1450
161,Zone 60,GITAM COLLEGE,A33,1344,1500,1501
162,Zone 60,GITAM COLLEGE,A34,1344,1500,1527
163,Zone 61,GITAM COLLEGE,A35,1344,1500,1591
164,Zone 61,GITAM COLLEGE,A36,1344,1500,1456
165,Zone 62,GITAM COLLEGE,A37,1344,1500,1463
166,Zone 62,GITAM COLLEGE,A38,1344,1500,1603
167,Zone 63,GITAM COLLEGE,A39,1344,1500,1476
168,Zone 63,GITAM COLLEGE,A40,1344,1500,1560
169,Zone 64,GITAM COLLEGE,A41,1344,1500,1499
170,Zone 64,GITAM COLLEGE,A42,1344,1500,1491
171,Zone 65,RUSHIKONDA BEACH,A43,1344,1500,1459
172,Zone 65,RUSHIKONDA BEACH,A44,1344,1500,1534
208,Zone 82,VMRDA LAND,A68B,1344,1500,1571
209,Zone 82,VMRDA LAND,A68C,672,1500,1558
210,Zone 83,VMRDA LAND,A69-A,1344,1500,1568
211,Zone 83,VMRDA LAND,A69-B,1344,1500,1474
212,Zone 83,VMRDA LAND,A69-C,672,800,742
299,Zone 106,Law College Road,C136,1344,1500,1432
300,Zone 106,Law College Road,C137,1344,1500,1479
303,Zone 108,Law College Road,C140,1344,1500,1458
304,Zone 108,Law College Road,C141,1344,1500,1497
307,Zone 110,Law College Road,C144,1344,1500,1935
308,Zone 110,Law College Road,C145,1344,1500,1333
311,Zone 112,Law College Road,C148,1344,1500,1611
312,Zone 112,Law College Road,C149,1344,1500,1486
