SNo,Zone,Compartment Name,Compartments,No of Participants,No of QR Codes Given,No of  QR's Scanned
8,Zone 3,Beach Road- Main Venue,C8,1008,1250,1654
9,Zone 3,Beach Road- Main Venue,C9,1008,1250,1988
10,Zone 3,Beach Road- Main Venue,C10,1008,1250,1972
38,Zone 16,Beach Road - Zoo Park,C38,672,800,625
39,Zone 16,Beach Road - Kali Temple,C39,672,800,617
40,Zone 16,Beach Road - Sagarnagar,C40,672,800,786
41,Zone 17,Beach Road - Sagarnagar,C41,672,800,744
42,Zone 17,Beach Road - Sagarnagar,C42,672,800,785
43,Zone 17,Beach Road - Sagarnagar,C43,672,800,677
44,Zone 18,Beach Road - Sun School,C44,672,800,739
45,Zone 18,Beach Road - ISKON,C45,672,800,754
46,Zone 18,Beach Road - ISKON,C46,672,800,1188
197,Zone 77,IT SEZ VACANT LAND,A64-A,1344,800,1560
198,Zone 77,IT SEZ VACANT LAND,A64-B,1344,1500,1466
199,Zone 78,IT SEZ VACANT LAND,A64-C,1344,800,1056
200,Zone 78,IT SEZ VACANT LAND,A64-D,1344,800,1158
201,Zone 79,VMRDA LAND,A65-A,1344,1500,1011
202,Zone 79,VMRDA LAND,A65-B,672,800,797
203,Zone 80,VMRDA LAND,A66-A,1344,1500,849
204,Zone 80,VMRDA LAND,A66-B,1344,1500,314
205,Zone 81,VMRDA LAND,A66-C,672,800,740
206,Zone 81,VMRDA LAND,A67,672,800,872
207,Zone 81,VMRDA LAND,A68-A,1344,1500,764
